排名,占比(%),累计占比(%),自身时间(s),累计时间(s),调用次数,单次自身时间(s),单次总时间(s),函数名称
62,0.0,100.02,0.0,386.07,639,0.0,0.0,"misc::parse_parts(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, int&, int&, int&)"
63,0.0,100.02,0.0,386.07,464,0.0,0.0,"Block::Block(int, int*, double*, int, int, int, int, int)"
64,0.0,100.02,0.0,386.07,464,0.0,0.0,Block::~Block()
65,0.0,100.02,0.0,386.07,440,0.0,0.0,"monitor::writefile(double, int, double*)"
66,0.0,100.02,0.0,386.07,345,0.0,0.0,decide3d_
67,0.0,100.02,0.0,386.07,345,0.0,0.0,global_interp_
68,0.0,100.02,0.0,386.07,345,0.0,0.0,polin3_
69,0.0,100.02,0.0,386.07,240,0.0,0.0,"monitor::writefile(double, int, double*, double*)"
70,0.0,100.02,0.0,386.07,167,0.0,0.0,"var::var(char const*, int, double, double, double)"
71,0.0,100.02,0.0,386.07,167,0.0,0.0,var::~var()
72,0.0,100.02,0.0,386.07,107,0.0,0.0,"Patch::Patch(int, int*, double*, int, bool, int)"
73,0.0,100.02,0.0,386.07,107,0.0,0.0,Patch::~Patch()
74,0.0,100.02,0.0,386.07,107,0.0,0.0,"Parallel::partition3(int*, int, int*, int, int*)"
75,0.0,100.02,0.0,386.07,58,0.0,0.0,"cgh::construct_patchlist(int, int)"
76,0.0,100.02,0.0,386.07,58,0.0,0.0,Parallel::KillBlocks(MyList<Patch>*)
77,0.0,100.02,0.0,386.07,58,0.0,0.0,"Parallel::distribute(MyList<Patch>*, int, int, int, bool, int)"
78,0.0,100.02,0.0,386.07,58,0.0,0.0,Parallel::add_ghost_touch(MyList<Parallel::gridseg>*&)
79,0.0,100.02,0.0,386.07,58,0.0,0.0,Parallel::cut_gsl(MyList<Parallel::gridseg>*&)
80,0.0,100.02,0.0,386.07,58,0.0,0.0,"Parallel::merge_gsl(MyList<Parallel::gridseg>*&, double)"
81,0.0,100.02,0.0,386.07,53,0.0,0.0,"Parallel::checkgsl(MyList<Parallel::gridseg>*, bool)"
82,0.0,100.02,0.0,386.07,49,0.0,0.01,"cgh::recompose_cgh_Onelevel(int, int, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int, bool)"
83,0.0,100.02,0.0,386.07,49,0.0,0.01,"Parallel::fill_level_data(MyList<Patch>*, MyList<Patch>*, MyList<Patch>*, MyList<var>*, MyList<var>*, MyList<var>*, MyList<var>*, int, bool, bool)"
84,0.0,100.02,0.0,386.07,49,0.0,0.0,Parallel::build_complete_gsl_virtual(MyList<Patch>*)
85,0.0,100.02,0.0,386.07,49,0.0,0.0,"Parallel::cut_gs(MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*, MyList<Parallel::gridseg>*&)"
86,0.0,100.02,0.0,386.07,21,0.0,0.02,bssn_class::Interp_Constraint(bool)
87,0.0,100.02,0.0,386.07,21,0.0,0.22,bssn_class::Compute_Constraint()
88,0.0,100.02,0.0,386.07,21,0.0,0.51,"cgh::cgh(int, int, int, char*, int, monitor*)"
89,0.0,100.02,0.0,386.07,20,0.0,0.04,bssn_class::Compute_Psi4(int)
90,0.0,100.02,0.0,386.07,20,0.0,18.32,bssn_class::RecursiveStep(int)
91,0.0,100.02,0.0,386.07,20,0.0,0.0,"perf::MemoryUsage(unsigned long*, unsigned long*, unsigned long*, unsigned long*, unsigned long*, unsigned long*, int)"
92,0.0,100.02,0.0,386.07,20,0.0,0.0,perf::sample_mem_usage(int)
93,0.0,100.02,0.0,386.07,15,0.0,0.0,var::setpropspeed(double)
94,0.0,100.02,0.0,386.07,13,0.0,0.0,"Parallel::aligncheck(double*, double*, int, double*, int*)"
95,0.0,100.02,0.0,386.07,12,0.0,0.0,Patch::checkPatch(bool)
96,0.0,100.02,0.0,386.07,12,0.0,0.0,"Parallel::Dump_Data(Patch*, MyList<var>*, char*, double, double, int)"
97,0.0,100.02,0.0,386.07,9,0.0,0.0,"Parallel::Dump_Data(MyList<Patch>*, MyList<var>*, char*, double, double)"
98,0.0,100.02,0.0,386.07,9,0.0,0.0,"std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)"
99,0.0,100.02,0.0,386.07,7,0.0,0.0,"Parallel::prepare_inter_time_level(Patch*, MyList<var>*, MyList<var>*, MyList<var>*, int)"
100,0.0,100.02,0.0,386.07,5,0.0,0.0,monitor::~monitor()
101,0.0,100.02,0.0,386.07,3,0.0,0.0,frame_dummy
102,0.0,100.02,0.0,386.07,2,0.0,0.0,checkpoint::addvariablelist(MyList<var>*)
103,0.0,100.02,0.0,386.07,2,0.0,0.0,"misc::inversearray(double*, int)"
104,0.0,100.02,0.0,386.07,2,0.0,0.0,"std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~pair()"
105,0.0,100.02,0.0,386.07,2,0.0,0.0,"std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_insert_unique<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&&)"
106,0.0,100.02,0.0,386.07,1,0.0,0.51,bssn_class::Initialize()
107,0.0,100.02,0.0,386.07,1,0.0,0.55,bssn_class::Read_Ansorg()
108,0.0,100.02,0.0,386.07,1,0.0,0.0,bssn_class::Setup_Black_Hole_position()
109,0.0,100.02,0.0,386.07,1,0.0,382.2,bssn_class::Evolve(int)
110,0.0,100.02,0.0,386.07,1,0.0,0.0,"bssn_class::bssn_class(double, double, double, double, double, double, double, int, int, char*, double, double, double, int, int, int, double, double)"
111,0.0,100.02,0.0,386.07,1,0.0,0.0,bssn_class::~bssn_class()
112,0.0,100.02,0.0,386.07,1,0.0,0.0,"checkpoint::checkpoint(bool, char const*, int)"
113,0.0,100.02,0.0,386.07,1,0.0,0.0,checkpoint::~checkpoint()
114,0.0,100.02,0.0,386.07,1,0.0,0.0,surface_integral::surface_integral(int)
115,0.0,100.02,0.0,386.07,1,0.0,0.0,surface_integral::~surface_integral()
116,0.0,100.02,0.0,386.07,1,0.0,0.0,cgh::compose_cgh(int)
117,0.0,100.02,0.0,386.07,1,0.0,0.0,cgh::settrfls(int)
118,0.0,100.02,0.0,386.07,1,0.0,0.0,"cgh::read_bbox(int, char*)"
119,0.0,100.02,0.0,386.07,1,0.0,0.0,cgh::sethandle(monitor*)
120,0.0,100.02,0.0,386.07,1,0.0,0.0,cgh::~cgh()
121,0.0,100.02,0.0,386.07,1,0.0,0.0,"misc::gaulegf(double, double, double*, double*, int)"
122,0.0,100.02,0.0,386.07,1,0.0,0.0,perf::perf()
123,0.0,100.02,0.0,386.07,1,0.0,0.0,perf::~perf()
124,0.0,100.02,0.0,386.07,1,0.0,0.0,Ansorg::set_ABp()
125,0.0,100.02,0.0,386.07,1,0.0,0.0,"Ansorg::Ansorg(char*, int)"
126,0.0,100.02,0.0,386.07,1,0.0,0.0,Ansorg::~Ansorg()
127,0.0,100.02,0.0,386.07,1,0.0,0.0,"monitor::print_message(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)"
128,0.0,100.02,0.0,386.07,1,0.0,0.0,"std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >::~map()"
129,0.0,100.02,0.0,386.07,1,0.0,0.0,"std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::pair<char const (&) [9], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, true>(char const (&) [9], std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)"
